# Clinical IR System Evaluation Results


--- Running Evaluation at K=1 ---

| Model | Role | Precision@K | Recall@K |
| :--- | :--- | :--- | :--- |
| **HYBRID** | Overall | 0.4167 | 0.1528 |
| --- | --- | --- | --- |
| **BM25** | Overall | 0.4167 | 0.1389 |
| --- | --- | --- | --- |
| **VSM** | Overall | 0.4167 | 0.1389 |
| --- | --- | --- | --- |
| **BOOLEAN** | Overall | 0.2500 | 0.0833 |
| --- | --- | --- | --- |

--- Running Evaluation at K=3 ---

| Model | Role | Precision@K | Recall@K |
| :--- | :--- | :--- | :--- |
| **HYBRID** | Overall | 0.3056 | 0.3472 |
| --- | --- | --- | --- |
| **BM25** | Overall | 0.4445 | 0.4445 |
| --- | --- | --- | --- |
| **VSM** | Overall | 0.4445 | 0.4583 |
| --- | --- | --- | --- |
| **BOOLEAN** | Overall | 0.3333 | 0.3472 |
| --- | --- | --- | --- |

--- Running Evaluation at K=5 ---

| Model | Role | Precision@K | Recall@K |
| :--- | :--- | :--- | :--- |
| **HYBRID** | Overall | 0.2500 | 0.4861 |
| --- | --- | --- | --- |
| **BM25** | Overall | 0.3500 | 0.5903 |
| --- | --- | --- | --- |
| **VSM** | Overall | 0.3500 | 0.5903 |
| --- | --- | --- | --- |
| **BOOLEAN** | Overall | 0.3333 | 0.5833 |
| --- | --- | --- | --- |

--- Running Evaluation at K=10 ---

| Model | Role | Precision@K | Recall@K |
| :--- | :--- | :--- | :--- |
| **HYBRID** | Overall | 0.1917 | 0.7569 |
| --- | --- | --- | --- |
| **BM25** | Overall | 0.2500 | 0.9028 |
| --- | --- | --- | --- |
| **VSM** | Overall | 0.2583 | 0.9792 |
| --- | --- | --- | --- |
| **BOOLEAN** | Overall | 0.3000 | 1.0903 |
| --- | --- | --- | --- |
